CMDLINE /usr/bin/python3 scripts/Lasso-RF-Rhizo.py
MEM 205.246094 1652109602.1516
MEM 194.160156 1652109602.2518
MEM 201.636719 1652109602.3521
MEM 205.246094 1652109602.4523
MEM 205.246094 1652109602.5526
MEM 194.160156 1652109602.6529
MEM 201.378906 1652109602.7531
MEM 204.988281 1652109602.8533
MEM 194.160156 1652109602.9536
MEM 194.160156 1652109603.0539
MEM 201.378906 1652109603.1541
MEM 204.988281 1652109603.2544
MEM 194.160156 1652109603.3546
MEM 194.160156 1652109603.4549
MEM 204.984375 1652109603.5552
MEM 204.984375 1652109603.6555
MEM 194.160156 1652109603.7557
MEM 201.636719 1652109603.8560
MEM 205.246094 1652109603.9562
MEM 203.242188 1652109604.0565
MEM 194.160156 1652109604.1568
MEM 201.636719 1652109604.2570
MEM 205.246094 1652109604.3573
MEM 194.160156 1652109604.4575
MEM 194.160156 1652109604.5578
MEM 204.988281 1652109604.6580
MEM 204.988281 1652109604.7583
MEM 194.160156 1652109604.8586
MEM 201.378906 1652109604.9588
MEM 204.988281 1652109605.0591
MEM 204.988281 1652109605.1593
MEM 194.160156 1652109605.2596
MEM 201.378906 1652109605.3598
MEM 204.988281 1652109605.4601
MEM 204.988281 1652109605.5604
MEM 194.160156 1652109605.6606
MEM 201.636719 1652109605.7609
MEM 205.246094 1652109605.8611
MEM 194.160156 1652109605.9614
MEM 194.160156 1652109606.0617
MEM 205.246094 1652109606.1619
MEM 205.246094 1652109606.2622
MEM 194.160156 1652109606.3625
MEM 201.378906 1652109606.4627
MEM 204.988281 1652109606.5630
MEM 204.988281 1652109606.6633
MEM 194.160156 1652109606.7636
MEM 201.378906 1652109606.8639
MEM 204.988281 1652109606.9642
MEM 194.160156 1652109607.0646
MEM 194.160156 1652109607.1650
MEM 204.988281 1652109607.2654
MEM 204.988281 1652109607.3657
MEM 194.160156 1652109607.4661
MEM 201.121094 1652109607.5663
MEM 205.246094 1652109607.6667
MEM 205.246094 1652109607.7670
MEM 194.160156 1652109607.8673
MEM 201.636719 1652109607.9675
MEM 205.246094 1652109608.0679
MEM 194.160156 1652109608.1682
MEM 194.160156 1652109608.2684
MEM 201.636719 1652109608.3687
MEM 204.988281 1652109608.4689
MEM 194.160156 1652109608.5692
MEM 194.160156 1652109608.6695
MEM 204.988281 1652109608.7697
MEM 204.988281 1652109608.8700
MEM 194.160156 1652109608.9703
MEM 201.378906 1652109609.0705
