CMDLINE /usr/bin/python3 scripts/PCA-SVM-Malaria.py
MEM 406.511719 1652244674.8147
MEM 406.511719 1652244674.9151
MEM 406.511719 1652244675.0177
MEM 406.511719 1652244675.1180
MEM 406.511719 1652244675.2184
MEM 406.511719 1652244675.3188
MEM 406.511719 1652244675.4192
MEM 406.511719 1652244675.5195
MEM 406.511719 1652244675.6199
MEM 406.511719 1652244675.7203
MEM 406.511719 1652244675.8206
MEM 406.511719 1652244675.9210
MEM 406.546875 1652244676.0213
MEM 406.546875 1652244676.1217
MEM 406.546875 1652244676.2220
MEM 406.546875 1652244676.3223
MEM 406.546875 1652244676.4226
MEM 406.546875 1652244676.5230
MEM 406.546875 1652244676.6234
MEM 406.546875 1652244676.7238
MEM 406.546875 1652244676.8242
MEM 406.546875 1652244676.9245
MEM 406.546875 1652244677.0249
MEM 406.546875 1652244677.1253
MEM 406.546875 1652244677.2258
MEM 406.546875 1652244677.3261
MEM 406.546875 1652244677.4265
MEM 406.546875 1652244677.5269
MEM 406.546875 1652244677.6271
MEM 406.546875 1652244677.7275
MEM 406.546875 1652244677.8279
MEM 406.546875 1652244677.9282
MEM 406.546875 1652244678.0286
MEM 406.546875 1652244678.1290
MEM 406.546875 1652244678.2294
MEM 406.546875 1652244678.3298
MEM 406.546875 1652244678.4311
MEM 406.546875 1652244678.5315
MEM 406.546875 1652244678.6320
MEM 406.546875 1652244678.7324
MEM 406.546875 1652244678.8329
MEM 406.546875 1652244678.9333
MEM 406.546875 1652244679.0337
MEM 406.546875 1652244679.1341
MEM 406.546875 1652244679.2345
MEM 406.546875 1652244679.3349
MEM 406.546875 1652244679.4352
MEM 406.546875 1652244679.5356
MEM 406.546875 1652244679.6360
MEM 406.546875 1652244679.7363
MEM 406.546875 1652244679.8366
MEM 406.546875 1652244679.9370
MEM 406.546875 1652244680.0373
MEM 406.546875 1652244680.1376
MEM 406.546875 1652244680.2380
MEM 406.546875 1652244680.3384
MEM 406.546875 1652244680.4387
MEM 406.546875 1652244680.5390
MEM 406.546875 1652244680.6394
MEM 406.546875 1652244680.7398
MEM 406.546875 1652244680.8401
MEM 406.546875 1652244680.9404
MEM 406.546875 1652244681.0409
MEM 406.546875 1652244681.1413
MEM 406.546875 1652244681.2416
MEM 406.546875 1652244681.3419
MEM 406.546875 1652244681.4422
MEM 406.546875 1652244681.5426
MEM 406.546875 1652244681.6429
MEM 406.546875 1652244681.7431
MEM 406.546875 1652244681.8457
MEM 406.546875 1652244681.9461
MEM 406.546875 1652244682.0465
MEM 406.546875 1652244682.1472
MEM 406.546875 1652244682.2476
MEM 406.546875 1652244682.3480
MEM 406.546875 1652244682.4484
MEM 406.546875 1652244682.5489
MEM 406.546875 1652244682.6493
MEM 406.699219 1652244682.7496
MEM 406.699219 1652244682.8500
MEM 406.699219 1652244682.9504
MEM 407.039062 1652244683.0508
MEM 407.039062 1652244683.1512
MEM 241.121094 1652244683.2516
MEM 239.871094 1652244683.3520
