CMDLINE /usr/bin/python3 scripts/Lasso-RF-TARA.py
MEM 240.503906 1652252371.9792
MEM 260.082031 1652252372.0795
MEM 260.855469 1652252372.1799
MEM 269.613281 1652252372.2802
MEM 230.914062 1652252372.3806
MEM 245.019531 1652252372.4809
MEM 260.082031 1652252372.5812
MEM 269.871094 1652252372.6815
MEM 269.871094 1652252372.7819
MEM 240.503906 1652252372.8822
MEM 243.019531 1652252372.9826
MEM 260.082031 1652252373.0829
MEM 269.613281 1652252373.1834
MEM 269.613281 1652252373.2837
MEM 240.503906 1652252373.3840
MEM 260.082031 1652252373.4844
MEM 266.855469 1652252373.5848
MEM 269.613281 1652252373.6851
MEM 269.613281 1652252373.7854
MEM 240.503906 1652252373.8857
MEM 250.808594 1652252373.9861
MEM 260.082031 1652252374.0865
MEM 269.613281 1652252374.1868
MEM 269.613281 1652252374.2872
MEM 240.503906 1652252374.3875
MEM 260.082031 1652252374.4893
MEM 260.082031 1652252374.5897
MEM 269.613281 1652252374.6900
MEM 269.613281 1652252374.7903
MEM 240.503906 1652252374.8907
MEM 260.082031 1652252374.9911
MEM 269.871094 1652252375.0914
MEM 269.871094 1652252375.1917
MEM 240.503906 1652252375.2921
MEM 260.082031 1652252375.3924
MEM 269.613281 1652252375.4928
MEM 269.613281 1652252375.5930
MEM 240.503906 1652252375.6935
MEM 240.503906 1652252375.7938
MEM 260.082031 1652252375.8942
MEM 269.613281 1652252375.9946
MEM 269.613281 1652252376.0950
MEM 240.503906 1652252376.1953
MEM 241.019531 1652252376.2956
MEM 260.082031 1652252376.3959
MEM 269.613281 1652252376.4962
MEM 269.613281 1652252376.5965
MEM 240.503906 1652252376.6968
MEM 240.503906 1652252376.7971
MEM 260.082031 1652252376.8974
MEM 260.855469 1652252376.9977
MEM 269.613281 1652252377.0980
MEM 237.152344 1652252377.1984
MEM 240.503906 1652252377.2987
MEM 260.082031 1652252377.4017
MEM 269.871094 1652252377.5021
MEM 269.871094 1652252377.6024
MEM 240.503906 1652252377.7028
MEM 260.082031 1652252377.8032
MEM 269.613281 1652252377.9035
MEM 269.613281 1652252378.0038
MEM 240.503906 1652252378.1043
MEM 240.503906 1652252378.2046
MEM 260.082031 1652252378.3048
MEM 269.613281 1652252378.4052
MEM 269.613281 1652252378.5055
MEM 240.503906 1652252378.6057
MEM 260.082031 1652252378.7060
MEM 260.082031 1652252378.8063
MEM 269.613281 1652252378.9066
MEM 228.914062 1652252379.0069
MEM 240.503906 1652252379.1072
MEM 260.082031 1652252379.2076
MEM 269.613281 1652252379.3080
MEM 269.613281 1652252379.4083
MEM 228.914062 1652252379.5086
MEM 240.503906 1652252379.6138
MEM 260.082031 1652252379.7142
MEM 269.871094 1652252379.8146
MEM 269.871094 1652252379.9149
MEM 269.871094 1652252380.0151
MEM 228.914062 1652252380.1155
MEM 240.503906 1652252380.2158
MEM 260.082031 1652252380.3162
MEM 269.613281 1652252380.4165
MEM 269.613281 1652252380.5169
MEM 269.613281 1652252380.6173
MEM 240.503906 1652252380.7176
MEM 260.082031 1652252380.8180
MEM 266.855469 1652252380.9184
MEM 269.613281 1652252381.0188
MEM 269.613281 1652252381.1191
MEM 240.503906 1652252381.2195
MEM 260.082031 1652252381.3198
MEM 269.613281 1652252381.4201
MEM 269.613281 1652252381.5205
MEM 240.503906 1652252381.6208
MEM 260.082031 1652252381.7212
MEM 260.082031 1652252381.8215
MEM 269.613281 1652252381.9219
MEM 269.613281 1652252382.0222
MEM 240.503906 1652252382.1226
MEM 260.082031 1652252382.2229
MEM 269.871094 1652252382.3233
MEM 269.871094 1652252382.4236
MEM 238.183594 1652252382.5240
MEM 240.503906 1652252382.6244
MEM 260.082031 1652252382.7247
MEM 269.613281 1652252382.8251
MEM 269.613281 1652252382.9254
MEM 240.503906 1652252383.0258
MEM 240.503906 1652252383.1261
MEM 260.082031 1652252383.2265
MEM 269.613281 1652252383.3268
MEM 269.613281 1652252383.4271
MEM 269.613281 1652252383.5275
MEM 260.082031 1652252383.6279
MEM 262.855469 1652252383.7283
MEM 269.613281 1652252383.8287
MEM 269.613281 1652252383.9290
