CMDLINE /usr/bin/python3 scripts/PCA-RF-TARA.py
MEM 214.933594 1652255078.1640
MEM 214.933594 1652255078.2643
MEM 214.933594 1652255078.3647
MEM 214.933594 1652255078.4650
MEM 214.933594 1652255078.5653
MEM 214.933594 1652255078.6656
MEM 214.933594 1652255078.7678
MEM 214.933594 1652255078.8681
MEM 214.933594 1652255078.9684
MEM 214.933594 1652255079.0687
MEM 214.933594 1652255079.1690
MEM 214.933594 1652255079.2694
MEM 214.933594 1652255079.3697
MEM 214.933594 1652255079.4701
MEM 214.933594 1652255079.5704
MEM 214.933594 1652255079.6707
MEM 214.933594 1652255079.7710
MEM 214.933594 1652255079.8713
MEM 214.933594 1652255079.9716
MEM 214.933594 1652255080.0720
MEM 214.933594 1652255080.1723
MEM 214.933594 1652255080.2726
MEM 214.933594 1652255080.3729
MEM 214.933594 1652255080.4732
MEM 214.933594 1652255080.5735
MEM 214.933594 1652255080.6738
MEM 214.933594 1652255080.7741
MEM 214.933594 1652255080.8744
MEM 214.933594 1652255080.9747
MEM 214.933594 1652255081.0750
MEM 214.933594 1652255081.1753
MEM 214.933594 1652255081.2757
MEM 214.933594 1652255081.3760
MEM 214.933594 1652255081.4763
MEM 214.933594 1652255081.5766
MEM 214.933594 1652255081.6770
MEM 214.933594 1652255081.7773
MEM 214.933594 1652255081.8776
MEM 214.933594 1652255081.9779
MEM 214.933594 1652255082.0782
MEM 214.933594 1652255082.1784
MEM 214.933594 1652255082.2788
MEM 214.933594 1652255082.3791
MEM 214.933594 1652255082.4831
MEM 214.933594 1652255082.5834
MEM 214.933594 1652255082.6837
MEM 214.933594 1652255082.7840
MEM 214.933594 1652255082.8843
MEM 214.933594 1652255082.9846
MEM 214.933594 1652255083.0849
MEM 214.933594 1652255083.1853
MEM 214.933594 1652255083.2856
MEM 214.933594 1652255083.3859
MEM 214.933594 1652255083.4862
MEM 214.933594 1652255083.5866
MEM 214.933594 1652255083.6870
MEM 214.933594 1652255083.7872
MEM 214.933594 1652255083.8875
MEM 214.933594 1652255083.9878
MEM 214.933594 1652255084.0881
MEM 214.933594 1652255084.1885
MEM 214.933594 1652255084.2888
MEM 214.933594 1652255084.3891
MEM 214.933594 1652255084.4894
MEM 214.933594 1652255084.5940
MEM 214.933594 1652255084.6944
MEM 214.988281 1652255084.7947
MEM 214.988281 1652255084.8950
MEM 214.988281 1652255084.9953
MEM 214.988281 1652255085.0956
MEM 214.988281 1652255085.1980
MEM 214.988281 1652255085.2983
MEM 214.988281 1652255085.3987
MEM 214.988281 1652255085.4990
MEM 214.988281 1652255085.5993
MEM 214.988281 1652255085.6996
MEM 214.988281 1652255085.7998
MEM 214.988281 1652255085.9002
MEM 214.988281 1652255086.0005
MEM 214.988281 1652255086.1008
MEM 214.988281 1652255086.2011
MEM 214.988281 1652255086.3014
MEM 214.988281 1652255086.4017
MEM 214.988281 1652255086.5020
MEM 214.988281 1652255086.6042
MEM 214.988281 1652255086.7045
MEM 214.988281 1652255086.8048
MEM 214.988281 1652255086.9051
MEM 214.988281 1652255087.0054
MEM 214.988281 1652255087.1077
MEM 214.988281 1652255087.2103
MEM 214.988281 1652255087.3123
MEM 214.988281 1652255087.4125
MEM 214.988281 1652255087.5128
MEM 214.988281 1652255087.6132
MEM 214.988281 1652255087.7135
MEM 214.988281 1652255087.8138
MEM 214.988281 1652255087.9182
MEM 214.988281 1652255088.0186
MEM 214.988281 1652255088.1188
MEM 214.988281 1652255088.2192
MEM 214.988281 1652255088.3195
MEM 214.988281 1652255088.4198
MEM 214.988281 1652255088.5201
MEM 214.988281 1652255088.6204
MEM 214.988281 1652255088.7207
MEM 214.988281 1652255088.8210
MEM 214.988281 1652255088.9214
MEM 214.988281 1652255089.0217
MEM 214.988281 1652255089.1219
MEM 214.988281 1652255089.2223
MEM 214.988281 1652255089.3225
MEM 214.988281 1652255089.4229
MEM 214.988281 1652255089.5231
MEM 214.988281 1652255089.6235
MEM 214.988281 1652255089.7237
MEM 214.988281 1652255089.8240
MEM 214.988281 1652255089.9243
MEM 214.988281 1652255090.0246
MEM 214.988281 1652255090.1249
MEM 214.988281 1652255090.2252
MEM 214.988281 1652255090.3255
MEM 214.988281 1652255090.4258
MEM 214.988281 1652255090.5260
MEM 214.988281 1652255090.6263
MEM 214.988281 1652255090.7266
MEM 214.988281 1652255090.8270
MEM 214.988281 1652255090.9273
MEM 214.988281 1652255091.0275
MEM 214.988281 1652255091.1278
MEM 214.988281 1652255091.2281
MEM 214.988281 1652255091.3284
MEM 214.988281 1652255091.4307
MEM 214.988281 1652255091.5310
MEM 214.988281 1652255091.6313
MEM 214.988281 1652255091.7315
MEM 214.988281 1652255091.8318
MEM 214.988281 1652255091.9338
MEM 214.988281 1652255092.0340
MEM 214.988281 1652255092.1362
MEM 214.988281 1652255092.2365
MEM 214.988281 1652255092.3367
MEM 214.988281 1652255092.4370
MEM 214.988281 1652255092.5372
MEM 214.988281 1652255092.6375
MEM 214.988281 1652255092.7377
MEM 214.988281 1652255092.8380
MEM 214.988281 1652255092.9382
MEM 214.988281 1652255093.0384
MEM 214.988281 1652255093.1399
MEM 214.988281 1652255093.2402
MEM 214.988281 1652255093.3404
MEM 214.988281 1652255093.4406
MEM 214.988281 1652255093.5409
MEM 214.988281 1652255093.6411
MEM 214.988281 1652255093.7414
MEM 214.988281 1652255093.8417
MEM 214.988281 1652255093.9419
MEM 214.988281 1652255094.0422
MEM 214.988281 1652255094.1425
MEM 214.988281 1652255094.2427
MEM 214.988281 1652255094.3430
MEM 214.988281 1652255094.4432
MEM 214.988281 1652255094.5435
MEM 214.988281 1652255094.6437
MEM 214.988281 1652255094.7440
MEM 214.988281 1652255094.8442
MEM 214.988281 1652255094.9445
MEM 214.988281 1652255095.0448
MEM 214.988281 1652255095.1451
MEM 214.988281 1652255095.2454
MEM 214.988281 1652255095.3457
MEM 214.988281 1652255095.4460
MEM 214.988281 1652255095.5463
MEM 215.164062 1652255095.6466
MEM 215.164062 1652255095.7470
MEM 215.164062 1652255095.8473
MEM 215.164062 1652255095.9476
MEM 215.175781 1652255096.0480
MEM 215.175781 1652255096.1483
MEM 215.175781 1652255096.2486
MEM 215.175781 1652255096.3489
MEM 215.175781 1652255096.4492
MEM 215.175781 1652255096.5495
MEM 215.175781 1652255096.6499
MEM 215.175781 1652255096.7501
MEM 215.175781 1652255096.8522
MEM 215.175781 1652255096.9546
MEM 215.175781 1652255097.0549
MEM 215.175781 1652255097.1553
MEM 215.175781 1652255097.2556
MEM 215.175781 1652255097.3558
MEM 215.175781 1652255097.4561
MEM 215.175781 1652255097.5571
MEM 215.175781 1652255097.6574
MEM 215.175781 1652255097.7577
MEM 215.175781 1652255097.8580
MEM 215.175781 1652255097.9583
MEM 215.175781 1652255098.0586
MEM 215.175781 1652255098.1589
MEM 215.175781 1652255098.2592
MEM 215.175781 1652255098.3595
MEM 215.175781 1652255098.4598
MEM 215.175781 1652255098.5601
MEM 215.175781 1652255098.6604
MEM 215.175781 1652255098.7607
MEM 215.175781 1652255098.8610
MEM 215.175781 1652255098.9613
MEM 215.175781 1652255099.0616
MEM 215.175781 1652255099.1618
MEM 215.175781 1652255099.2621
MEM 215.175781 1652255099.3653
MEM 215.175781 1652255099.4656
MEM 215.175781 1652255099.5660
MEM 215.175781 1652255099.6663
MEM 215.175781 1652255099.7667
MEM 215.175781 1652255099.8670
MEM 215.175781 1652255099.9723
MEM 215.175781 1652255100.0726
MEM 215.175781 1652255100.1729
MEM 215.175781 1652255100.2733
MEM 215.175781 1652255100.3736
MEM 215.175781 1652255100.4739
MEM 215.175781 1652255100.5743
MEM 215.175781 1652255100.6746
MEM 215.175781 1652255100.7749
MEM 215.175781 1652255100.8752
MEM 215.175781 1652255100.9755
MEM 215.175781 1652255101.0759
MEM 215.175781 1652255101.1762
MEM 215.175781 1652255101.2765
MEM 215.175781 1652255101.3767
MEM 215.175781 1652255101.4771
MEM 215.175781 1652255101.5774
MEM 215.175781 1652255101.6777
MEM 215.175781 1652255101.7780
MEM 215.175781 1652255101.8783
MEM 215.175781 1652255101.9787
MEM 215.175781 1652255102.0790
MEM 215.175781 1652255102.1793
MEM 215.175781 1652255102.2796
MEM 215.175781 1652255102.3813
MEM 215.175781 1652255102.4816
MEM 215.175781 1652255102.5819
MEM 215.175781 1652255102.6822
MEM 215.175781 1652255102.7825
MEM 215.175781 1652255102.8828
MEM 215.175781 1652255102.9832
MEM 215.175781 1652255103.0835
MEM 215.175781 1652255103.1838
MEM 215.175781 1652255103.2841
MEM 215.175781 1652255103.3844
MEM 215.175781 1652255103.4847
MEM 215.175781 1652255103.5851
MEM 215.175781 1652255103.6854
MEM 215.175781 1652255103.7857
MEM 215.175781 1652255103.8875
MEM 215.175781 1652255103.9896
MEM 215.175781 1652255104.0900
MEM 215.175781 1652255104.1903
MEM 215.175781 1652255104.2906
MEM 215.175781 1652255104.3909
MEM 215.175781 1652255104.4911
MEM 215.175781 1652255104.5914
MEM 215.175781 1652255104.6917
MEM 215.175781 1652255104.7920
MEM 215.175781 1652255104.8923
MEM 215.175781 1652255104.9926
MEM 215.175781 1652255105.0929
MEM 215.175781 1652255105.1932
MEM 215.175781 1652255105.2935
MEM 215.175781 1652255105.3938
MEM 215.175781 1652255105.4940
MEM 215.175781 1652255105.5943
MEM 215.175781 1652255105.6945
MEM 215.175781 1652255105.7948
MEM 215.175781 1652255105.8951
MEM 215.175781 1652255105.9954
MEM 215.175781 1652255106.0957
MEM 215.175781 1652255106.1960
MEM 215.175781 1652255106.2963
MEM 215.175781 1652255106.3966
MEM 215.175781 1652255106.4970
MEM 215.175781 1652255106.5973
MEM 215.175781 1652255106.6976
MEM 215.175781 1652255106.7979
MEM 215.175781 1652255106.8982
MEM 215.175781 1652255106.9986
MEM 215.175781 1652255107.0989
MEM 215.175781 1652255107.1991
MEM 215.175781 1652255107.3014
MEM 215.175781 1652255107.4018
MEM 215.175781 1652255107.5021
MEM 215.175781 1652255107.6024
MEM 215.175781 1652255107.7028
MEM 215.175781 1652255107.8031
MEM 215.175781 1652255107.9034
MEM 215.175781 1652255108.0037
MEM 215.175781 1652255108.1041
MEM 215.175781 1652255108.2044
MEM 215.175781 1652255108.3047
MEM 215.175781 1652255108.4050
MEM 215.175781 1652255108.5054
MEM 215.175781 1652255108.6057
MEM 215.175781 1652255108.7061
MEM 215.175781 1652255108.8064
MEM 215.175781 1652255108.9067
MEM 215.175781 1652255109.0070
MEM 215.175781 1652255109.1073
MEM 215.175781 1652255109.2076
MEM 215.175781 1652255109.3080
MEM 215.175781 1652255109.4083
MEM 215.175781 1652255109.5086
MEM 215.175781 1652255109.6089
MEM 215.175781 1652255109.7092
MEM 215.175781 1652255109.8095
MEM 215.175781 1652255109.9103
MEM 215.175781 1652255110.0107
MEM 215.175781 1652255110.1110
MEM 215.175781 1652255110.2113
MEM 215.175781 1652255110.3116
MEM 215.175781 1652255110.4120
MEM 215.175781 1652255110.5123
MEM 215.175781 1652255110.6126
MEM 215.175781 1652255110.7129
MEM 215.175781 1652255110.8131
MEM 215.175781 1652255110.9134
MEM 215.175781 1652255111.0136
MEM 215.175781 1652255111.1139
MEM 215.175781 1652255111.2142
MEM 215.175781 1652255111.3144
MEM 215.175781 1652255111.4147
MEM 215.175781 1652255111.5149
MEM 215.175781 1652255111.6152
MEM 215.175781 1652255111.7154
MEM 215.175781 1652255111.8157
