CMDLINE /usr/bin/python3 scripts/Lasso-SVM-Malaria.py
MEM 326.851562 1652244338.8818
MEM 357.671875 1652244338.9822
MEM 372.960938 1652244339.0826
MEM 372.960938 1652244339.1834
MEM 326.851562 1652244339.2839
MEM 350.925781 1652244339.3844
MEM 358.187500 1652244339.4848
MEM 372.960938 1652244339.5852
MEM 372.960938 1652244339.6856
MEM 326.851562 1652244339.7860
MEM 357.414062 1652244339.8864
MEM 372.742188 1652244339.9868
MEM 372.742188 1652244340.0871
MEM 316.851562 1652244340.1876
MEM 326.851562 1652244340.2880
MEM 357.671875 1652244340.3885
MEM 372.960938 1652244340.4888
MEM 372.960938 1652244340.5892
MEM 326.851562 1652244340.6895
MEM 357.671875 1652244340.7899
MEM 372.960938 1652244340.8903
MEM 372.960938 1652244340.9906
MEM 326.851562 1652244341.0911
MEM 357.671875 1652244341.1915
MEM 372.960938 1652244341.2919
MEM 372.960938 1652244341.3922
MEM 312.335938 1652244341.4926
MEM 326.851562 1652244341.5929
MEM 357.671875 1652244341.6933
MEM 372.960938 1652244341.7937
MEM 372.960938 1652244341.8940
MEM 326.851562 1652244341.9944
MEM 344.925781 1652244342.0948
MEM 357.414062 1652244342.1951
MEM 372.742188 1652244342.2955
MEM 372.742188 1652244342.3959
MEM 326.851562 1652244342.4964
MEM 357.671875 1652244342.5968
MEM 372.960938 1652244342.6973
MEM 372.960938 1652244342.7977
MEM 326.851562 1652244342.8981
MEM 357.671875 1652244342.9985
MEM 357.671875 1652244343.1000
MEM 372.960938 1652244343.2004
MEM 372.960938 1652244343.3008
MEM 326.851562 1652244343.4013
MEM 357.671875 1652244343.5017
MEM 372.960938 1652244343.6026
MEM 372.960938 1652244343.7030
MEM 326.851562 1652244343.8034
MEM 334.886719 1652244343.9038
MEM 357.671875 1652244344.0042
MEM 372.960938 1652244344.1046
MEM 372.960938 1652244344.2049
MEM 326.851562 1652244344.3053
MEM 357.414062 1652244344.4056
MEM 372.742188 1652244344.5059
MEM 372.742188 1652244344.6063
MEM 326.851562 1652244344.7067
MEM 357.671875 1652244344.8071
MEM 372.960938 1652244344.9075
MEM 372.960938 1652244345.0079
