CMDLINE /usr/bin/python3 scripts/Lasso-SVM-TARA.py
MEM 280.093750 1652295436.8916
MEM 280.093750 1652295436.9920
MEM 289.882812 1652295437.0924
MEM 260.707031 1652295437.1929
MEM 261.480469 1652295437.2934
MEM 290.140625 1652295437.3937
MEM 290.140625 1652295437.4942
MEM 260.707031 1652295437.5946
MEM 280.093750 1652295437.6950
MEM 289.882812 1652295437.7955
MEM 260.707031 1652295437.8961
MEM 289.882812 1652295437.9966
MEM 289.882812 1652295438.0971
MEM 260.707031 1652295438.1975
MEM 280.093750 1652295438.2980
MEM 289.882812 1652295438.3985
MEM 260.707031 1652295438.4990
MEM 280.093750 1652295438.5994
MEM 280.093750 1652295438.6998
MEM 289.882812 1652295438.8003
MEM 260.707031 1652295438.9007
MEM 280.351562 1652295439.0012
MEM 290.140625 1652295439.1015
MEM 249.562500 1652295439.2022
MEM 260.707031 1652295439.3028
MEM 280.093750 1652295439.4032
MEM 289.882812 1652295439.5036
MEM 260.707031 1652295439.6039
MEM 280.093750 1652295439.7044
MEM 289.882812 1652295439.8048
MEM 289.882812 1652295439.9052
MEM 260.707031 1652295440.0056
MEM 280.093750 1652295440.1060
MEM 289.882812 1652295440.2064
MEM 289.882812 1652295440.3068
MEM 260.707031 1652295440.4072
MEM 280.093750 1652295440.5077
MEM 289.882812 1652295440.6080
MEM 289.882812 1652295440.7084
MEM 260.707031 1652295440.8090
MEM 280.351562 1652295440.9094
MEM 290.140625 1652295441.0098
MEM 260.707031 1652295441.1103
MEM 260.707031 1652295441.2108
MEM 289.882812 1652295441.3112
MEM 289.882812 1652295441.4116
MEM 260.707031 1652295441.5121
MEM 280.093750 1652295441.6127
MEM 280.093750 1652295441.7131
MEM 258.644531 1652295441.8135
MEM 280.093750 1652295441.9140
MEM 289.882812 1652295442.0143
MEM 260.707031 1652295442.1147
MEM 280.093750 1652295442.2152
MEM 280.093750 1652295442.3156
MEM 289.882812 1652295442.4161
MEM 270.562500 1652295442.5165
MEM 290.140625 1652295442.6171
MEM 290.140625 1652295442.7174
MEM 260.707031 1652295442.8178
MEM 280.093750 1652295442.9183
MEM 289.882812 1652295443.0186
MEM 289.882812 1652295443.1190
MEM 260.707031 1652295443.2194
MEM 280.093750 1652295443.3199
MEM 289.882812 1652295443.4204
MEM 260.707031 1652295443.5209
MEM 269.015625 1652295443.6213
MEM 289.882812 1652295443.7219
MEM 289.882812 1652295443.8224
MEM 260.707031 1652295443.9228
MEM 280.093750 1652295444.0232
MEM 289.882812 1652295444.1238
MEM 289.882812 1652295444.2242
MEM 260.707031 1652295444.3248
MEM 280.351562 1652295444.4253
MEM 290.140625 1652295444.5257
MEM 249.820312 1652295444.6262
MEM 260.707031 1652295444.7267
MEM 280.093750 1652295444.8273
MEM 289.882812 1652295444.9278
MEM 260.707031 1652295445.0282
MEM 280.093750 1652295445.1287
MEM 280.093750 1652295445.2290
MEM 289.882812 1652295445.3294
MEM 260.707031 1652295445.4298
MEM 280.093750 1652295445.5303
MEM 280.093750 1652295445.6308
MEM 289.882812 1652295445.7312
MEM 249.050781 1652295445.8316
MEM 280.093750 1652295445.9320
MEM 289.882812 1652295446.0324
MEM 260.707031 1652295446.1329
MEM 260.707031 1652295446.2335
MEM 290.140625 1652295446.3340
MEM 290.140625 1652295446.4345
MEM 260.707031 1652295446.5349
MEM 280.093750 1652295446.6354
MEM 280.093750 1652295446.7358
MEM 289.882812 1652295446.8362
MEM 289.882812 1652295446.9366
MEM 260.707031 1652295447.0371
MEM 280.093750 1652295447.1375
MEM 289.882812 1652295447.2381
MEM 289.882812 1652295447.3385
MEM 260.707031 1652295447.4390
MEM 280.093750 1652295447.5394
MEM 289.882812 1652295447.6400
MEM 289.882812 1652295447.7404
MEM 278.808594 1652295447.8409
MEM 289.882812 1652295447.9414
MEM 289.882812 1652295448.0418
MEM 260.707031 1652295448.1423
MEM 280.351562 1652295448.2428
MEM 290.140625 1652295448.3433
MEM 290.140625 1652295448.4437
MEM 280.093750 1652295448.5442
MEM 289.882812 1652295448.6447
MEM 289.882812 1652295448.7452
MEM 260.707031 1652295448.8458
MEM 288.609375 1652295448.9462
MEM 289.882812 1652295449.0467
MEM 260.707031 1652295449.1471
MEM 280.093750 1652295449.2476
MEM 288.851562 1652295449.3481
MEM 289.882812 1652295449.4485
MEM 260.707031 1652295449.5490
MEM 289.882812 1652295449.6494
MEM 289.882812 1652295449.7498
MEM 260.707031 1652295449.8503
MEM 280.351562 1652295449.9508
MEM 290.140625 1652295450.0513
MEM 260.707031 1652295450.1517
MEM 266.769531 1652295450.2522
MEM 289.882812 1652295450.3527
MEM 289.882812 1652295450.4532
MEM 260.707031 1652295450.5536
MEM 280.093750 1652295450.6541
MEM 289.882812 1652295450.7546
MEM 260.707031 1652295450.8551
MEM 280.093750 1652295450.9556
MEM 280.093750 1652295451.0560
MEM 289.882812 1652295451.1565
MEM 260.707031 1652295451.2569
MEM 280.093750 1652295451.3574
MEM 284.609375 1652295451.4579
MEM 289.882812 1652295451.5583
MEM 260.707031 1652295451.6587
MEM 280.351562 1652295451.7592
MEM 290.140625 1652295451.8596
MEM 290.140625 1652295451.9600
MEM 260.707031 1652295452.0605
MEM 280.093750 1652295452.1609
MEM 289.882812 1652295452.2613
MEM 289.882812 1652295452.3617
MEM 260.707031 1652295452.4623
MEM 280.093750 1652295452.5628
MEM 289.882812 1652295452.6633
MEM 259.933594 1652295452.7638
MEM 280.093750 1652295452.8642
MEM 289.882812 1652295452.9646
MEM 289.882812 1652295453.0650
MEM 260.707031 1652295453.1655
MEM 280.093750 1652295453.2659
MEM 289.882812 1652295453.3663
MEM 260.707031 1652295453.4667
MEM 280.351562 1652295453.5672
MEM 290.140625 1652295453.6676
MEM 260.707031 1652295453.7680
MEM 280.093750 1652295453.8685
MEM 289.882812 1652295453.9691
MEM 289.882812 1652295454.0695
MEM 260.707031 1652295454.1700
MEM 280.093750 1652295454.2704
MEM 289.882812 1652295454.3708
MEM 257.613281 1652295454.4712
MEM 260.707031 1652295454.5716
MEM 286.609375 1652295454.6720
MEM 289.882812 1652295454.7724
MEM 258.644531 1652295454.8728
MEM 270.562500 1652295454.9732
MEM 280.093750 1652295455.0736
MEM 289.882812 1652295455.1740
MEM 260.707031 1652295455.2744
MEM 280.351562 1652295455.3749
MEM 290.140625 1652295455.4753
MEM 260.707031 1652295455.5756
MEM 280.093750 1652295455.6760
MEM 280.093750 1652295455.7764
MEM 289.882812 1652295455.8769
MEM 260.707031 1652295455.9775
MEM 266.769531 1652295456.0779
MEM 289.882812 1652295456.1783
MEM 289.882812 1652295456.2788
MEM 260.707031 1652295456.3792
MEM 280.093750 1652295456.4797
MEM 289.882812 1652295456.5803
MEM 289.882812 1652295456.6807
MEM 260.707031 1652295456.7811
MEM 280.093750 1652295456.8816
MEM 289.882812 1652295456.9820
MEM 289.882812 1652295457.0825
MEM 260.707031 1652295457.1829
MEM 280.351562 1652295457.2833
MEM 290.140625 1652295457.3838
MEM 260.707031 1652295457.4842
MEM 280.093750 1652295457.5846
MEM 280.093750 1652295457.6850
MEM 249.050781 1652295457.7855
MEM 270.562500 1652295457.8859
MEM 280.093750 1652295457.9863
MEM 289.882812 1652295458.0868
MEM 260.707031 1652295458.1872
MEM 280.093750 1652295458.2877
MEM 289.882812 1652295458.3881
MEM 289.882812 1652295458.4885
MEM 260.707031 1652295458.5890
MEM 280.093750 1652295458.6895
MEM 289.882812 1652295458.7899
MEM 260.449219 1652295458.8903
MEM 260.707031 1652295458.9907
MEM 290.140625 1652295459.0911
MEM 290.140625 1652295459.1916
MEM 260.707031 1652295459.2921
MEM 280.093750 1652295459.3925
MEM 289.882812 1652295459.4931
MEM 289.882812 1652295459.5936
MEM 270.562500 1652295459.6941
MEM 289.882812 1652295459.7946
MEM 289.882812 1652295459.8950
MEM 260.707031 1652295459.9955
MEM 289.882812 1652295460.0959
MEM 289.882812 1652295460.1962
MEM 260.707031 1652295460.2966
MEM 280.093750 1652295460.3970
MEM 289.882812 1652295460.4975
MEM 260.707031 1652295460.5979
MEM 260.707031 1652295460.6983
MEM 290.140625 1652295460.7987
MEM 290.140625 1652295460.8991
MEM 260.707031 1652295460.9997
MEM 280.093750 1652295461.1002
MEM 289.882812 1652295461.2007
MEM 258.386719 1652295461.3011
MEM 260.707031 1652295461.4015
MEM 280.093750 1652295461.5020
MEM 289.882812 1652295461.6024
MEM 260.707031 1652295461.7028
MEM 280.093750 1652295461.8033
MEM 289.882812 1652295461.9038
MEM 260.707031 1652295462.0042
MEM 280.093750 1652295462.1047
MEM 289.882812 1652295462.2053
MEM 289.882812 1652295462.3058
MEM 260.707031 1652295462.4062
MEM 280.351562 1652295462.5066
MEM 290.140625 1652295462.6071
MEM 290.140625 1652295462.7076
MEM 260.707031 1652295462.8080
MEM 280.093750 1652295462.9085
MEM 284.609375 1652295463.0088
MEM 289.882812 1652295463.1093
MEM 260.707031 1652295463.2099
MEM 280.093750 1652295463.3103
MEM 288.609375 1652295463.4107
MEM 289.882812 1652295463.5111
MEM 260.707031 1652295463.6116
MEM 280.093750 1652295463.7119
MEM 280.093750 1652295463.8124
MEM 289.882812 1652295463.9127
MEM 260.707031 1652295464.0132
MEM 280.093750 1652295464.1137
MEM 280.093750 1652295464.2142
MEM 289.882812 1652295464.3147
MEM 260.707031 1652295464.4152
MEM 280.351562 1652295464.5156
MEM 280.351562 1652295464.6162
MEM 290.140625 1652295464.7168
MEM 260.707031 1652295464.8172
MEM 280.093750 1652295464.9176
MEM 280.093750 1652295465.0181
MEM 289.882812 1652295465.1185
MEM 260.707031 1652295465.2190
MEM 280.093750 1652295465.3195
MEM 280.093750 1652295465.4199
MEM 289.882812 1652295465.5203
MEM 260.707031 1652295465.6208
MEM 289.882812 1652295465.7213
MEM 289.882812 1652295465.8218
MEM 260.707031 1652295465.9222
MEM 280.093750 1652295466.0227
MEM 280.093750 1652295466.1232
MEM 289.882812 1652295466.2237
MEM 250.335938 1652295466.3241
MEM 260.707031 1652295466.4246
MEM 280.351562 1652295466.5251
MEM 290.140625 1652295466.6255
MEM 260.707031 1652295466.7260
MEM 270.046875 1652295466.8264
MEM 289.882812 1652295466.9270
MEM 249.050781 1652295467.0274
MEM 260.707031 1652295467.1278
MEM 280.093750 1652295467.2283
MEM 289.882812 1652295467.3287
MEM 260.707031 1652295467.4292
MEM 280.093750 1652295467.5298
MEM 289.882812 1652295467.6302
MEM 260.707031 1652295467.7306
MEM 280.093750 1652295467.8310
MEM 289.882812 1652295467.9316
MEM 289.882812 1652295468.0320
MEM 280.351562 1652295468.1324
MEM 290.140625 1652295468.2328
MEM 258.902344 1652295468.3332
MEM 262.253906 1652295468.4337
MEM 280.093750 1652295468.5342
MEM 289.882812 1652295468.6346
MEM 289.882812 1652295468.7350
MEM 260.707031 1652295468.8355
MEM 280.093750 1652295468.9359
MEM 289.882812 1652295469.0365
MEM 260.707031 1652295469.1369
MEM 280.093750 1652295469.2374
MEM 280.093750 1652295469.3379
MEM 289.882812 1652295469.4383
MEM 260.707031 1652295469.5388
