CMDLINE /usr/bin/python3 scripts/Lasso-RF-Malaria.py
MEM 370.347656 1652243479.7604
MEM 370.347656 1652243479.8631
MEM 355.019531 1652243479.9635
MEM 370.347656 1652243480.0639
MEM 370.347656 1652243480.1643
MEM 324.238281 1652243480.2648
MEM 339.500000 1652243480.3651
MEM 355.535156 1652243480.4655
MEM 370.347656 1652243480.5658
MEM 309.171875 1652243480.6662
MEM 334.496094 1652243480.7671
MEM 369.316406 1652243480.8675
MEM 370.347656 1652243480.9694
MEM 324.238281 1652243481.0699
MEM 354.761719 1652243481.1723
MEM 370.089844 1652243481.2727
MEM 370.089844 1652243481.3730
MEM 324.238281 1652243481.4735
MEM 324.238281 1652243481.5738
MEM 355.019531 1652243481.6742
MEM 370.347656 1652243481.7747
MEM 370.347656 1652243481.8752
MEM 324.238281 1652243481.9757
MEM 355.019531 1652243482.0761
MEM 370.347656 1652243482.1765
MEM 370.347656 1652243482.2769
MEM 322.457031 1652243482.3773
MEM 355.019531 1652243482.4776
MEM 366.308594 1652243482.5781
MEM 370.347656 1652243482.6786
MEM 370.347656 1652243482.7790
MEM 324.238281 1652243482.8796
MEM 355.019531 1652243482.9800
MEM 360.308594 1652243483.0804
MEM 370.347656 1652243483.1809
MEM 370.347656 1652243483.2813
MEM 324.238281 1652243483.3816
MEM 354.761719 1652243483.4821
MEM 354.761719 1652243483.5824
MEM 370.089844 1652243483.6828
MEM 370.089844 1652243483.7832
MEM 324.238281 1652243483.8838
MEM 355.019531 1652243483.9842
MEM 370.347656 1652243484.0846
MEM 370.347656 1652243484.1850
MEM 370.347656 1652243484.2854
MEM 324.238281 1652243484.3858
MEM 355.019531 1652243484.4861
MEM 370.347656 1652243484.5865
MEM 370.347656 1652243484.6870
MEM 324.238281 1652243484.7874
MEM 355.019531 1652243484.8877
MEM 370.347656 1652243484.9882
MEM 370.347656 1652243485.0887
MEM 370.347656 1652243485.1891
MEM 324.238281 1652243485.2895
MEM 355.019531 1652243485.3899
MEM 370.347656 1652243485.4903
MEM 370.347656 1652243485.5908
MEM 324.238281 1652243485.6913
MEM 354.761719 1652243485.7917
MEM 370.089844 1652243485.8920
MEM 370.089844 1652243485.9924
MEM 370.089844 1652243486.0927
MEM 324.238281 1652243486.1931
MEM 355.019531 1652243486.2935
MEM 370.347656 1652243486.3939
