CMDLINE /usr/bin/python3 scripts/tSNE-RF-TARA.py
MEM 253.378906 1652255567.5048
MEM 253.378906 1652255567.6051
MEM 253.378906 1652255567.7054
MEM 253.378906 1652255567.8057
MEM 253.378906 1652255567.9061
MEM 253.378906 1652255568.0065
MEM 253.378906 1652255568.1068
MEM 253.378906 1652255568.2071
MEM 253.378906 1652255568.3074
MEM 253.378906 1652255568.4077
MEM 253.378906 1652255568.5080
MEM 253.378906 1652255568.6084
MEM 253.378906 1652255568.7088
MEM 253.378906 1652255568.8091
MEM 253.378906 1652255568.9094
MEM 253.378906 1652255569.0097
MEM 253.378906 1652255569.1100
MEM 253.378906 1652255569.2103
MEM 253.378906 1652255569.3107
MEM 253.378906 1652255569.4111
MEM 253.378906 1652255569.5113
MEM 253.378906 1652255569.6116
MEM 253.378906 1652255569.7119
MEM 253.378906 1652255569.8122
MEM 253.378906 1652255569.9146
MEM 253.378906 1652255570.0150
MEM 253.378906 1652255570.1153
MEM 253.378906 1652255570.2156
MEM 253.378906 1652255570.3159
MEM 253.378906 1652255570.4162
MEM 253.378906 1652255570.5165
MEM 253.378906 1652255570.6168
MEM 253.378906 1652255570.7172
MEM 253.378906 1652255570.8176
MEM 253.378906 1652255570.9178
MEM 253.378906 1652255571.0181
MEM 253.378906 1652255571.1184
MEM 253.378906 1652255571.2205
MEM 253.378906 1652255571.3209
MEM 253.378906 1652255571.4213
MEM 253.378906 1652255571.5216
MEM 253.378906 1652255571.6219
MEM 253.378906 1652255571.7222
MEM 253.378906 1652255571.8226
MEM 253.378906 1652255571.9230
MEM 253.378906 1652255572.0233
MEM 253.378906 1652255572.1236
MEM 253.378906 1652255572.2240
MEM 253.378906 1652255572.3243
MEM 253.378906 1652255572.4245
MEM 253.378906 1652255572.5248
MEM 253.378906 1652255572.6301
MEM 253.378906 1652255572.7305
MEM 253.378906 1652255572.8308
MEM 253.378906 1652255572.9311
MEM 253.378906 1652255573.0324
MEM 253.378906 1652255573.1327
MEM 253.378906 1652255573.2329
MEM 253.378906 1652255573.3333
MEM 253.378906 1652255573.4336
MEM 253.378906 1652255573.5339
MEM 253.378906 1652255573.6351
MEM 253.378906 1652255573.7353
MEM 253.378906 1652255573.8356
MEM 253.378906 1652255573.9358
MEM 253.378906 1652255574.0361
MEM 253.378906 1652255574.1363
MEM 253.378906 1652255574.2366
MEM 253.378906 1652255574.3368
MEM 253.378906 1652255574.4371
MEM 253.378906 1652255574.5373
MEM 253.378906 1652255574.6376
MEM 253.378906 1652255574.7378
MEM 253.378906 1652255574.8381
MEM 253.378906 1652255574.9383
MEM 253.378906 1652255575.0386
MEM 253.378906 1652255575.1389
MEM 253.378906 1652255575.2393
MEM 253.378906 1652255575.3396
MEM 253.378906 1652255575.4399
MEM 253.378906 1652255575.5411
MEM 253.378906 1652255575.6414
MEM 253.378906 1652255575.7416
MEM 253.378906 1652255575.8419
MEM 253.378906 1652255575.9422
MEM 253.378906 1652255576.0424
MEM 253.378906 1652255576.1427
MEM 253.378906 1652255576.2429
MEM 253.378906 1652255576.3432
MEM 253.378906 1652255576.4434
MEM 253.378906 1652255576.5437
MEM 253.378906 1652255576.6439
MEM 253.378906 1652255576.7442
MEM 253.378906 1652255576.8444
MEM 253.378906 1652255576.9465
MEM 253.378906 1652255577.0468
MEM 253.378906 1652255577.1471
MEM 253.378906 1652255577.2476
MEM 253.378906 1652255577.3499
MEM 253.378906 1652255577.4502
MEM 253.378906 1652255577.5504
MEM 253.378906 1652255577.6507
MEM 253.378906 1652255577.7510
MEM 253.378906 1652255577.8512
MEM 253.378906 1652255577.9515
MEM 253.378906 1652255578.0518
MEM 253.378906 1652255578.1521
MEM 253.378906 1652255578.2525
MEM 253.378906 1652255578.3529
MEM 253.378906 1652255578.4543
MEM 253.378906 1652255578.5546
MEM 253.378906 1652255578.6551
MEM 253.378906 1652255578.7554
MEM 253.378906 1652255578.8556
MEM 253.378906 1652255578.9559
MEM 253.378906 1652255579.0562
MEM 253.378906 1652255579.1566
MEM 253.378906 1652255579.2569
MEM 253.378906 1652255579.3573
MEM 253.378906 1652255579.4575
MEM 253.378906 1652255579.5578
MEM 253.378906 1652255579.6581
MEM 253.378906 1652255579.7584
MEM 253.378906 1652255579.8594
MEM 253.378906 1652255579.9597
MEM 253.378906 1652255580.0600
MEM 253.378906 1652255580.1603
MEM 253.378906 1652255580.2606
MEM 253.378906 1652255580.3609
MEM 253.378906 1652255580.4613
MEM 253.378906 1652255580.5616
MEM 253.378906 1652255580.6619
MEM 253.378906 1652255580.7622
MEM 253.378906 1652255580.8625
MEM 253.378906 1652255580.9635
MEM 253.378906 1652255581.0638
MEM 253.378906 1652255581.1642
MEM 253.378906 1652255581.2645
MEM 253.378906 1652255581.3648
MEM 253.378906 1652255581.4650
MEM 253.378906 1652255581.5676
MEM 253.378906 1652255581.6678
MEM 253.378906 1652255581.7682
MEM 253.378906 1652255581.8697
MEM 253.378906 1652255581.9715
MEM 253.378906 1652255582.0718
MEM 253.378906 1652255582.1740
MEM 253.378906 1652255582.2742
MEM 253.378906 1652255582.3745
MEM 253.378906 1652255582.4756
MEM 253.378906 1652255582.5760
MEM 253.378906 1652255582.6763
MEM 253.378906 1652255582.7766
MEM 253.378906 1652255582.8779
MEM 253.378906 1652255582.9782
MEM 253.378906 1652255583.0785
MEM 253.378906 1652255583.1819
MEM 253.378906 1652255583.2822
MEM 253.378906 1652255583.3826
MEM 253.378906 1652255583.4829
MEM 253.378906 1652255583.5831
MEM 253.378906 1652255583.6855
MEM 253.378906 1652255583.7858
MEM 253.378906 1652255583.8862
MEM 253.378906 1652255583.9865
MEM 253.378906 1652255584.0868
MEM 253.378906 1652255584.1871
MEM 253.378906 1652255584.2874
MEM 253.378906 1652255584.3876
MEM 253.378906 1652255584.4886
MEM 253.378906 1652255584.5890
MEM 253.378906 1652255584.6893
MEM 253.378906 1652255584.7896
MEM 253.378906 1652255584.8899
MEM 253.378906 1652255584.9902
MEM 253.378906 1652255585.0906
MEM 253.378906 1652255585.1910
MEM 253.378906 1652255585.2933
MEM 253.378906 1652255585.3936
MEM 253.378906 1652255585.4939
MEM 253.378906 1652255585.5942
MEM 253.378906 1652255585.6945
MEM 253.378906 1652255585.7949
MEM 253.378906 1652255585.8953
MEM 253.378906 1652255585.9956
MEM 253.378906 1652255586.0959
MEM 253.378906 1652255586.1961
MEM 253.378906 1652255586.2972
MEM 253.378906 1652255586.3975
MEM 253.378906 1652255586.4979
MEM 253.378906 1652255586.5982
MEM 253.378906 1652255586.6985
MEM 253.378906 1652255586.8012
MEM 253.378906 1652255586.9015
MEM 253.378906 1652255587.0019
MEM 253.378906 1652255587.1023
MEM 253.378906 1652255587.2026
MEM 253.378906 1652255587.3040
MEM 253.378906 1652255587.4043
MEM 253.378906 1652255587.5045
MEM 253.378906 1652255587.6048
MEM 253.378906 1652255587.7052
MEM 253.378906 1652255587.8055
MEM 253.378906 1652255587.9059
MEM 253.378906 1652255588.0061
MEM 253.378906 1652255588.1065
MEM 253.378906 1652255588.2068
MEM 253.378906 1652255588.3070
MEM 253.378906 1652255588.4073
MEM 253.378906 1652255588.5077
MEM 253.378906 1652255588.6096
MEM 253.378906 1652255588.7108
MEM 253.378906 1652255588.8111
MEM 253.378906 1652255588.9133
MEM 253.378906 1652255589.0136
MEM 253.378906 1652255589.1139
MEM 253.378906 1652255589.2143
MEM 253.378906 1652255589.3146
MEM 253.378906 1652255589.4149
MEM 253.378906 1652255589.5152
MEM 253.378906 1652255589.6155
MEM 253.378906 1652255589.7158
MEM 253.378906 1652255589.8162
MEM 253.378906 1652255589.9166
MEM 253.378906 1652255590.0169
MEM 253.378906 1652255590.1172
MEM 253.378906 1652255590.2175
MEM 253.378906 1652255590.3178
MEM 253.378906 1652255590.4181
MEM 253.378906 1652255590.5183
MEM 253.378906 1652255590.6187
MEM 253.378906 1652255590.7191
MEM 253.378906 1652255590.8193
MEM 253.378906 1652255590.9196
MEM 253.378906 1652255591.0199
MEM 253.378906 1652255591.1201
MEM 253.378906 1652255591.2204
MEM 253.378906 1652255591.3207
MEM 253.378906 1652255591.4210
MEM 253.378906 1652255591.5214
MEM 253.378906 1652255591.6216
MEM 253.378906 1652255591.7219
MEM 253.378906 1652255591.8222
MEM 253.378906 1652255591.9225
MEM 253.378906 1652255592.0229
MEM 253.378906 1652255592.1231
MEM 253.378906 1652255592.2234
MEM 253.378906 1652255592.3237
MEM 253.378906 1652255592.4240
MEM 253.378906 1652255592.5243
MEM 253.378906 1652255592.6246
MEM 253.378906 1652255592.7249
MEM 253.378906 1652255592.8252
