CMDLINE /usr/bin/python3 scripts/tSNE-SVM-TARA.py
MEM 276.945312 1652297124.7580
MEM 276.945312 1652297124.8584
MEM 276.945312 1652297124.9589
MEM 276.945312 1652297125.0592
MEM 276.945312 1652297125.1597
MEM 276.945312 1652297125.2601
MEM 276.945312 1652297125.3604
MEM 276.945312 1652297125.4608
MEM 276.945312 1652297125.5613
MEM 276.945312 1652297125.6617
MEM 238.085938 1652297125.7621
MEM 248.195312 1652297125.8626
MEM 248.195312 1652297125.9629
MEM 248.195312 1652297126.0632
MEM 248.195312 1652297126.1636
MEM 248.195312 1652297126.2640
MEM 248.195312 1652297126.3644
MEM 248.195312 1652297126.4647
MEM 248.195312 1652297126.5651
MEM 248.195312 1652297126.6655
MEM 248.195312 1652297126.7659
MEM 248.195312 1652297126.8663
MEM 248.195312 1652297126.9667
MEM 248.195312 1652297127.0671
MEM 248.195312 1652297127.1676
MEM 248.195312 1652297127.2679
MEM 248.195312 1652297127.3683
MEM 248.195312 1652297127.4688
MEM 248.195312 1652297127.5692
MEM 248.195312 1652297127.6696
MEM 248.195312 1652297127.7700
MEM 248.195312 1652297127.8704
MEM 248.195312 1652297127.9708
MEM 248.195312 1652297128.0712
MEM 248.195312 1652297128.1715
MEM 248.195312 1652297128.2719
MEM 248.195312 1652297128.3723
MEM 248.195312 1652297128.4727
MEM 248.195312 1652297128.5731
MEM 248.195312 1652297128.6735
MEM 248.195312 1652297128.7739
MEM 248.195312 1652297128.8743
MEM 248.195312 1652297128.9747
MEM 248.195312 1652297129.0754
MEM 248.195312 1652297129.1757
MEM 248.195312 1652297129.2762
MEM 248.195312 1652297129.3766
MEM 248.195312 1652297129.4769
MEM 248.195312 1652297129.5773
MEM 248.195312 1652297129.6777
MEM 248.195312 1652297129.7781
MEM 248.195312 1652297129.8785
MEM 248.195312 1652297129.9789
MEM 248.195312 1652297130.0793
MEM 248.195312 1652297130.1797
MEM 248.195312 1652297130.2800
MEM 248.195312 1652297130.3804
MEM 248.195312 1652297130.4808
MEM 248.195312 1652297130.5813
MEM 248.195312 1652297130.6816
MEM 248.195312 1652297130.7820
MEM 248.195312 1652297130.8824
MEM 248.195312 1652297130.9828
MEM 248.195312 1652297131.0832
