CMDLINE /usr/bin/python3 scripts/AE-RF-Rhizo.py
MEM 1148.976562 1652240736.9870
MEM 1148.976562 1652240737.0874
MEM 1150.003906 1652240737.1878
MEM 1157.222656 1652240737.2882
MEM 1162.636719 1652240737.3885
MEM 1162.886719 1652240737.4889
MEM 1163.136719 1652240737.5892
MEM 1163.386719 1652240737.6896
MEM 1167.773438 1652240737.7900
MEM 1170.519531 1652240737.8903
MEM 1170.519531 1652240737.9907
MEM 1170.769531 1652240738.0912
MEM 1170.769531 1652240738.1915
MEM 1192.144531 1652240738.2919
MEM 1192.144531 1652240738.3923
MEM 1192.648438 1652240738.4926
MEM 1192.648438 1652240738.5930
MEM 1192.648438 1652240738.6934
MEM 1192.648438 1652240738.7938
MEM 1192.648438 1652240738.8942
MEM 1194.968750 1652240738.9946
MEM 1194.968750 1652240739.0951
MEM 1196.671875 1652240739.1955
MEM 1200.136719 1652240739.2959
MEM 1202.863281 1652240739.3963
MEM 1208.363281 1652240739.4969
MEM 1209.347656 1652240739.5973
MEM 1209.347656 1652240739.6976
MEM 1209.347656 1652240739.7980
MEM 1209.347656 1652240739.8984
MEM 1209.347656 1652240739.9988
MEM 1211.125000 1652240740.0991
MEM 1211.125000 1652240740.1995
MEM 1211.324219 1652240740.2998
MEM 1211.574219 1652240740.4001
MEM 1212.074219 1652240740.5005
MEM 1212.074219 1652240740.6008
MEM 1219.546875 1652240740.7012
MEM 1219.546875 1652240740.8015
MEM 1219.546875 1652240740.9019
MEM 1219.546875 1652240741.0022
MEM 1228.300781 1652240741.1026
MEM 1237.058594 1652240741.2030
MEM 1237.058594 1652240741.3035
MEM 1237.468750 1652240741.4038
MEM 1237.468750 1652240741.5042
MEM 1239.269531 1652240741.6046
MEM 1239.269531 1652240741.7050
MEM 1239.472656 1652240741.8054
MEM 1243.335938 1652240741.9058
MEM 1243.593750 1652240742.0062
MEM 1247.195312 1652240742.1067
MEM 1255.074219 1652240742.2072
MEM 1246.261719 1652240742.3076
MEM 1253.875000 1652240742.4080
MEM 1258.113281 1652240742.5084
MEM 1258.113281 1652240742.6088
MEM 1258.113281 1652240742.7092
MEM 1258.113281 1652240742.8096
MEM 1258.113281 1652240742.9100
MEM 1265.269531 1652240743.0105
MEM 1265.269531 1652240743.1109
MEM 1265.519531 1652240743.2113
MEM 1266.269531 1652240743.3117
MEM 1266.269531 1652240743.4121
MEM 1273.484375 1652240743.5125
MEM 1273.484375 1652240743.6129
MEM 1273.484375 1652240743.7133
MEM 1273.484375 1652240743.8137
MEM 1273.484375 1652240743.9141
MEM 1305.902344 1652240744.0145
MEM 1305.902344 1652240744.1150
MEM 1306.625000 1652240744.2154
MEM 1306.625000 1652240744.3158
MEM 1306.625000 1652240744.4162
MEM 1306.625000 1652240744.5166
MEM 1306.625000 1652240744.6170
MEM 1306.878906 1652240744.7174
MEM 1306.757812 1652240744.8180
MEM 1316.972656 1652240744.9185
MEM 1320.554688 1652240745.0189
MEM 1319.031250 1652240745.1193
MEM 1319.257812 1652240745.2198
MEM 1304.968750 1652240745.3202
MEM 1304.968750 1652240745.4206
MEM 1304.968750 1652240745.5210
MEM 1304.968750 1652240745.6214
MEM 1305.222656 1652240745.7218
MEM 1305.222656 1652240745.8221
MEM 1305.222656 1652240745.9225
MEM 1306.828125 1652240746.0229
MEM 1307.320312 1652240746.1233
MEM 1294.058594 1652240746.2236
MEM 1294.058594 1652240746.3240
MEM 1294.058594 1652240746.4243
MEM 1294.058594 1652240746.5247
MEM 1294.058594 1652240746.6251
MEM 1294.058594 1652240746.7255
MEM 1294.058594 1652240746.8258
MEM 1294.058594 1652240746.9262
MEM 1294.058594 1652240747.0265
MEM 1294.058594 1652240747.1269
MEM 1294.058594 1652240747.2273
MEM 1297.402344 1652240747.3277
MEM 1304.546875 1652240747.4281
MEM 1304.546875 1652240747.5284
MEM 1304.546875 1652240747.6287
MEM 1304.546875 1652240747.7291
MEM 1304.546875 1652240747.8294
MEM 1304.546875 1652240747.9297
MEM 1304.546875 1652240748.0300
MEM 1305.058594 1652240748.1304
MEM 1305.058594 1652240748.2307
MEM 1298.324219 1652240748.3311
MEM 1301.839844 1652240748.4315
MEM 1302.964844 1652240748.5319
MEM 1297.703125 1652240748.6323
MEM 1299.859375 1652240748.7326
MEM 1299.859375 1652240748.8330
MEM 1299.859375 1652240748.9334
MEM 1299.859375 1652240749.0337
MEM 1299.859375 1652240749.1341
MEM 1300.468750 1652240749.2345
MEM 1300.468750 1652240749.3348
MEM 1300.468750 1652240749.4358
MEM 1300.468750 1652240749.5362
MEM 1300.468750 1652240749.6366
MEM 1277.472656 1652240749.7370
MEM 1277.472656 1652240749.8373
MEM 1277.472656 1652240749.9377
MEM 1277.472656 1652240750.0381
MEM 1277.472656 1652240750.1385
MEM 1301.667969 1652240750.2388
MEM 1301.667969 1652240750.3392
MEM 1301.667969 1652240750.4396
MEM 1301.667969 1652240750.5399
MEM 1301.667969 1652240750.6404
MEM 1301.667969 1652240750.7407
MEM 1301.667969 1652240750.8411
