CMDLINE /usr/bin/python3 scripts/tSNE-RF-Rhizo.py
MEM 203.574219 1652242153.3203
MEM 203.574219 1652242153.4206
MEM 203.574219 1652242153.5209
MEM 203.574219 1652242153.6212
MEM 203.574219 1652242153.7215
MEM 203.574219 1652242153.8219
MEM 203.574219 1652242153.9222
MEM 203.574219 1652242154.0225
MEM 203.574219 1652242154.1228
MEM 203.574219 1652242154.2231
MEM 203.574219 1652242154.3234
MEM 203.574219 1652242154.4237
MEM 203.574219 1652242154.5240
MEM 203.574219 1652242154.6244
MEM 203.574219 1652242154.7247
MEM 203.574219 1652242154.8250
MEM 203.574219 1652242154.9253
MEM 203.574219 1652242155.0318
MEM 203.574219 1652242155.1321
MEM 203.574219 1652242155.2325
MEM 203.574219 1652242155.3329
MEM 203.574219 1652242155.4332
MEM 203.574219 1652242155.5335
MEM 203.574219 1652242155.6338
MEM 203.574219 1652242155.7340
MEM 203.574219 1652242155.8343
MEM 203.574219 1652242155.9346
MEM 203.574219 1652242156.0350
MEM 203.574219 1652242156.1353
MEM 203.574219 1652242156.2356
MEM 203.574219 1652242156.3359
MEM 203.574219 1652242156.4362
MEM 203.574219 1652242156.5365
MEM 203.574219 1652242156.6369
MEM 203.574219 1652242156.7372
MEM 203.574219 1652242156.8376
MEM 203.574219 1652242156.9379
MEM 203.574219 1652242157.0382
MEM 203.574219 1652242157.1385
MEM 203.574219 1652242157.2388
MEM 203.574219 1652242157.3391
MEM 203.574219 1652242157.4394
MEM 203.574219 1652242157.5398
MEM 203.574219 1652242157.6401
MEM 203.574219 1652242157.7403
MEM 203.574219 1652242157.8406
MEM 203.574219 1652242157.9409
MEM 203.574219 1652242158.0412
MEM 203.574219 1652242158.1415
MEM 203.574219 1652242158.2418
MEM 203.574219 1652242158.3422
MEM 203.574219 1652242158.4426
MEM 203.574219 1652242158.5449
MEM 203.574219 1652242158.6452
MEM 203.574219 1652242158.7455
MEM 203.574219 1652242158.8468
MEM 203.574219 1652242158.9472
MEM 203.574219 1652242159.0475
MEM 203.574219 1652242159.1479
MEM 203.574219 1652242159.2481
MEM 203.574219 1652242159.3484
MEM 203.574219 1652242159.4486
MEM 203.574219 1652242159.5489
MEM 203.574219 1652242159.6492
MEM 203.574219 1652242159.7496
MEM 203.574219 1652242159.8500
MEM 203.574219 1652242159.9503
MEM 203.574219 1652242160.0506
MEM 203.574219 1652242160.1509
MEM 203.574219 1652242160.2537
MEM 203.574219 1652242160.3540
MEM 203.574219 1652242160.4543
MEM 203.574219 1652242160.5547
MEM 203.574219 1652242160.6570
MEM 203.574219 1652242160.7573
MEM 203.574219 1652242160.8576
MEM 203.574219 1652242160.9579
MEM 203.574219 1652242161.0593
MEM 203.574219 1652242161.1613
MEM 203.574219 1652242161.2637
MEM 203.574219 1652242161.3640
MEM 203.574219 1652242161.4643
MEM 203.574219 1652242161.5646
MEM 203.574219 1652242161.6649
MEM 203.574219 1652242161.7652
MEM 203.574219 1652242161.8656
MEM 203.574219 1652242161.9660
MEM 203.574219 1652242162.0663
MEM 203.574219 1652242162.1666
MEM 203.574219 1652242162.2669
MEM 203.574219 1652242162.3673
MEM 203.574219 1652242162.4675
MEM 203.574219 1652242162.5686
MEM 203.574219 1652242162.6690
MEM 203.574219 1652242162.7693
MEM 203.574219 1652242162.8696
MEM 203.574219 1652242162.9699
MEM 203.574219 1652242163.0702
MEM 203.574219 1652242163.1705
MEM 203.574219 1652242163.2709
MEM 203.574219 1652242163.3713
MEM 203.574219 1652242163.4716
MEM 203.574219 1652242163.5719
MEM 203.574219 1652242163.6722
MEM 203.574219 1652242163.7725
MEM 203.574219 1652242163.8728
MEM 203.574219 1652242163.9731
MEM 203.574219 1652242164.0751
MEM 203.574219 1652242164.1755
MEM 203.574219 1652242164.2777
MEM 203.574219 1652242164.3780
MEM 203.574219 1652242164.4783
MEM 203.574219 1652242164.5786
MEM 203.574219 1652242164.6789
MEM 203.574219 1652242164.7793
MEM 203.574219 1652242164.8797
MEM 203.574219 1652242164.9800
MEM 203.574219 1652242165.0803
MEM 203.574219 1652242165.1805
MEM 203.574219 1652242165.2808
MEM 203.574219 1652242165.3811
MEM 203.574219 1652242165.4814
MEM 203.574219 1652242165.5818
MEM 203.574219 1652242165.6821
MEM 203.574219 1652242165.7824
MEM 203.574219 1652242165.8828
MEM 203.574219 1652242165.9831
MEM 203.574219 1652242166.0833
MEM 203.574219 1652242166.1836
MEM 203.574219 1652242166.2840
MEM 203.574219 1652242166.3843
MEM 203.574219 1652242166.4847
MEM 203.574219 1652242166.5850
MEM 203.574219 1652242166.6853
MEM 203.574219 1652242166.7856
MEM 203.574219 1652242166.8859
MEM 203.574219 1652242166.9861
MEM 203.574219 1652242167.0865
MEM 203.574219 1652242167.1888
MEM 203.574219 1652242167.2892
MEM 203.574219 1652242167.3895
MEM 203.574219 1652242167.4897
MEM 203.574219 1652242167.5901
MEM 203.574219 1652242167.6904
MEM 203.574219 1652242167.7908
MEM 203.574219 1652242167.8911
MEM 203.574219 1652242167.9914
MEM 203.574219 1652242168.0917
MEM 203.574219 1652242168.1919
MEM 203.574219 1652242168.2922
MEM 203.574219 1652242168.3926
MEM 203.574219 1652242168.4929
MEM 203.574219 1652242168.5932
MEM 203.574219 1652242168.6935
MEM 203.574219 1652242168.7938
MEM 203.574219 1652242168.8940
MEM 203.574219 1652242168.9943
MEM 203.574219 1652242169.0947
MEM 203.574219 1652242169.1951
MEM 203.574219 1652242169.2955
MEM 203.574219 1652242169.3957
MEM 203.574219 1652242169.4960
MEM 203.574219 1652242169.5963
MEM 203.574219 1652242169.6966
MEM 203.574219 1652242169.7970
MEM 203.574219 1652242169.8973
MEM 203.574219 1652242169.9976
MEM 203.574219 1652242170.0979
MEM 203.574219 1652242170.1982
MEM 203.574219 1652242170.2985
MEM 203.574219 1652242170.3988
MEM 203.574219 1652242170.4991
MEM 203.574219 1652242170.6008
MEM 203.574219 1652242170.7012
MEM 203.574219 1652242170.8015
MEM 203.574219 1652242170.9018
MEM 203.574219 1652242171.0022
MEM 203.574219 1652242171.1025
MEM 203.574219 1652242171.2028
MEM 203.574219 1652242171.3031
MEM 203.574219 1652242171.4072
MEM 203.574219 1652242171.5075
MEM 203.574219 1652242171.6078
MEM 203.574219 1652242171.7081
MEM 203.574219 1652242171.8084
MEM 203.574219 1652242171.9087
MEM 203.574219 1652242172.0090
MEM 203.574219 1652242172.1101
MEM 203.574219 1652242172.2105
MEM 203.574219 1652242172.3108
MEM 203.574219 1652242172.4111
MEM 203.574219 1652242172.5134
MEM 203.574219 1652242172.6137
MEM 203.574219 1652242172.7140
MEM 203.574219 1652242172.8143
MEM 203.574219 1652242172.9145
MEM 203.574219 1652242173.0164
MEM 203.574219 1652242173.1167
MEM 203.574219 1652242173.2170
MEM 203.574219 1652242173.3173
MEM 203.574219 1652242173.4175
MEM 203.574219 1652242173.5178
MEM 203.574219 1652242173.6181
MEM 203.574219 1652242173.7184
MEM 203.574219 1652242173.8209
MEM 203.574219 1652242173.9211
MEM 203.574219 1652242174.0214
MEM 203.574219 1652242174.1216
MEM 203.574219 1652242174.2219
MEM 203.574219 1652242174.3222
MEM 203.574219 1652242174.4224
MEM 203.574219 1652242174.5227
MEM 203.574219 1652242174.6230
MEM 203.574219 1652242174.7233
MEM 203.574219 1652242174.8235
MEM 203.574219 1652242174.9238
MEM 203.574219 1652242175.0241
MEM 203.574219 1652242175.1244
MEM 203.574219 1652242175.2247
MEM 203.574219 1652242175.3249
MEM 203.574219 1652242175.4252
MEM 203.574219 1652242175.5255
MEM 203.574219 1652242175.6258
MEM 203.574219 1652242175.7299
MEM 203.574219 1652242175.8301
MEM 203.574219 1652242175.9304
MEM 203.574219 1652242176.0306
MEM 203.574219 1652242176.1322
MEM 203.574219 1652242176.2325
MEM 203.574219 1652242176.3327
MEM 203.574219 1652242176.4350
MEM 203.574219 1652242176.5353
MEM 203.574219 1652242176.6356
MEM 203.574219 1652242176.7358
MEM 203.574219 1652242176.8361
MEM 203.574219 1652242176.9364
MEM 203.574219 1652242177.0372
MEM 203.574219 1652242177.1375
MEM 203.574219 1652242177.2378
MEM 203.574219 1652242177.3381
MEM 203.574219 1652242177.4384
MEM 203.574219 1652242177.5387
MEM 203.574219 1652242177.6391
MEM 203.574219 1652242177.7395
MEM 203.574219 1652242177.8398
MEM 203.574219 1652242177.9401
MEM 203.574219 1652242178.0404
MEM 203.574219 1652242178.1407
MEM 203.574219 1652242178.2410
MEM 203.574219 1652242178.3413
MEM 203.574219 1652242178.4416
MEM 203.574219 1652242178.5421
MEM 203.574219 1652242178.6424
MEM 203.574219 1652242178.7427
MEM 203.574219 1652242178.8451
MEM 203.574219 1652242178.9473
MEM 203.574219 1652242179.0511
MEM 203.574219 1652242179.1515
MEM 203.574219 1652242179.2518
MEM 203.574219 1652242179.3522
MEM 203.574219 1652242179.4525
MEM 203.574219 1652242179.5528
MEM 203.574219 1652242179.6531
MEM 203.574219 1652242179.7534
MEM 203.574219 1652242179.8537
MEM 203.574219 1652242179.9540
MEM 203.574219 1652242180.0550
MEM 203.574219 1652242180.1553
MEM 203.574219 1652242180.2555
MEM 203.574219 1652242180.3558
MEM 203.574219 1652242180.4561
MEM 203.574219 1652242180.5563
MEM 203.574219 1652242180.6567
MEM 203.574219 1652242180.7571
MEM 203.574219 1652242180.8574
MEM 203.574219 1652242180.9577
MEM 203.574219 1652242181.0595
MEM 203.574219 1652242181.1598
MEM 203.574219 1652242181.2601
