CMDLINE /usr/bin/python3 scripts/Lasso-RF-Rhizo.py
MEM 201.656250 1652241602.7978
MEM 201.656250 1652241602.8981
MEM 205.265625 1652241602.9983
MEM 205.265625 1652241603.0986
MEM 205.265625 1652241603.1989
MEM 205.265625 1652241603.2991
MEM 194.437500 1652241603.3994
MEM 194.437500 1652241603.4998
MEM 194.437500 1652241603.6002
MEM 201.656250 1652241603.7005
MEM 203.718750 1652241603.8009
MEM 205.265625 1652241603.9011
MEM 205.265625 1652241604.0014
MEM 205.265625 1652241604.1018
MEM 194.437500 1652241604.2021
MEM 194.437500 1652241604.3024
MEM 198.046875 1652241604.4028
MEM 201.914062 1652241604.5031
MEM 201.914062 1652241604.6034
MEM 205.523438 1652241604.7038
MEM 205.523438 1652241604.8041
MEM 205.523438 1652241604.9045
MEM 194.437500 1652241605.0049
MEM 194.437500 1652241605.1052
MEM 201.914062 1652241605.2055
MEM 201.914062 1652241605.3058
MEM 205.523438 1652241605.4062
MEM 205.523438 1652241605.5066
MEM 205.523438 1652241605.6069
MEM 194.437500 1652241605.7073
MEM 194.437500 1652241605.8077
MEM 194.437500 1652241605.9080
MEM 201.656250 1652241606.0085
MEM 201.656250 1652241606.1089
MEM 205.265625 1652241606.2093
MEM 205.265625 1652241606.3097
MEM 205.265625 1652241606.4101
MEM 194.437500 1652241606.5105
MEM 194.437500 1652241606.6108
MEM 194.437500 1652241606.7111
MEM 194.437500 1652241606.8115
MEM 201.656250 1652241606.9119
MEM 201.656250 1652241607.0122
MEM 205.265625 1652241607.1127
MEM 205.265625 1652241607.2131
MEM 205.265625 1652241607.3134
MEM 205.265625 1652241607.4137
MEM 194.437500 1652241607.5140
MEM 194.437500 1652241607.6144
MEM 201.656250 1652241607.7147
MEM 201.656250 1652241607.8151
MEM 205.265625 1652241607.9156
MEM 205.265625 1652241608.0159
MEM 205.265625 1652241608.1163
MEM 205.265625 1652241608.2166
MEM 205.265625 1652241608.3170
MEM 194.437500 1652241608.4173
MEM 194.437500 1652241608.5177
MEM 201.914062 1652241608.6180
MEM 205.523438 1652241608.7184
MEM 205.523438 1652241608.8187
MEM 205.523438 1652241608.9191
MEM 193.921875 1652241609.0194
MEM 194.437500 1652241609.1197
MEM 201.914062 1652241609.2202
MEM 201.914062 1652241609.3205
MEM 205.523438 1652241609.4210
MEM 205.523438 1652241609.5213
MEM 205.523438 1652241609.6218
MEM 194.437500 1652241609.7222
MEM 194.437500 1652241609.8226
MEM 201.656250 1652241609.9242
MEM 201.656250 1652241610.0246
MEM 205.265625 1652241610.1250
MEM 205.265625 1652241610.2260
MEM 205.265625 1652241610.3264
MEM 194.437500 1652241610.4268
MEM 194.437500 1652241610.5270
MEM 201.656250 1652241610.6274
MEM 201.656250 1652241610.7278
MEM 205.265625 1652241610.8282
MEM 205.265625 1652241610.9285
MEM 205.265625 1652241611.0289
MEM 194.179688 1652241611.1292
MEM 194.437500 1652241611.2296
MEM 194.437500 1652241611.3299
MEM 201.656250 1652241611.4303
MEM 201.656250 1652241611.5307
MEM 205.265625 1652241611.6311
MEM 205.265625 1652241611.7314
MEM 205.265625 1652241611.8317
MEM 194.437500 1652241611.9320
MEM 194.437500 1652241612.0323
MEM 201.914062 1652241612.1327
MEM 201.914062 1652241612.2472
MEM 205.523438 1652241612.3476
MEM 205.523438 1652241612.4480
MEM 205.523438 1652241612.5484
MEM 205.523438 1652241612.6488
MEM 194.437500 1652241612.7491
MEM 194.437500 1652241612.8494
MEM 201.914062 1652241612.9498
MEM 201.914062 1652241613.0502
MEM 205.523438 1652241613.1506
MEM 205.523438 1652241613.2511
MEM 205.523438 1652241613.3514
MEM 205.523438 1652241613.4517
MEM 205.523438 1652241613.5521
MEM 194.437500 1652241613.6524
MEM 194.437500 1652241613.7528
MEM 201.656250 1652241613.8531
MEM 201.656250 1652241613.9534
MEM 205.265625 1652241614.0538
MEM 205.265625 1652241614.1541
MEM 205.265625 1652241614.2546
MEM 205.265625 1652241614.3574
MEM 194.437500 1652241614.4577
MEM 194.437500 1652241614.5580
MEM 201.656250 1652241614.6598
MEM 201.656250 1652241614.7601
MEM 205.265625 1652241614.8604
MEM 205.265625 1652241614.9608
MEM 205.265625 1652241615.0612
MEM 194.437500 1652241615.1616
MEM 194.437500 1652241615.2619
MEM 201.656250 1652241615.3623
MEM 201.656250 1652241615.4626
MEM 205.265625 1652241615.5630
MEM 205.265625 1652241615.6634
MEM 205.265625 1652241615.7637
MEM 200.347656 1652241615.8640
MEM 194.437500 1652241615.9644
MEM 194.437500 1652241616.0649
