CMDLINE /usr/bin/python3 scripts/PCA-RF-Malaria.py
MEM 388.046875 1652243784.5131
MEM 388.046875 1652243784.6134
MEM 388.046875 1652243784.7137
MEM 388.046875 1652243784.8141
MEM 388.046875 1652243784.9145
MEM 388.046875 1652243785.0148
MEM 388.046875 1652243785.1152
MEM 388.046875 1652243785.2168
MEM 388.046875 1652243785.3171
MEM 388.046875 1652243785.4191
MEM 388.046875 1652243785.5194
MEM 388.046875 1652243785.6197
MEM 388.046875 1652243785.7202
MEM 388.046875 1652243785.8206
MEM 388.046875 1652243785.9209
MEM 388.046875 1652243786.0213
MEM 388.046875 1652243786.1236
MEM 388.046875 1652243786.2271
MEM 388.046875 1652243786.3275
MEM 388.046875 1652243786.4278
MEM 388.046875 1652243786.5282
MEM 388.046875 1652243786.6286
MEM 388.046875 1652243786.7294
MEM 388.046875 1652243786.8297
MEM 388.046875 1652243786.9300
MEM 388.046875 1652243787.0304
MEM 388.046875 1652243787.1308
MEM 388.046875 1652243787.2313
MEM 388.046875 1652243787.3316
MEM 388.046875 1652243787.4321
MEM 388.046875 1652243787.5325
MEM 388.046875 1652243787.6328
MEM 388.046875 1652243787.7332
MEM 388.046875 1652243787.8335
MEM 388.046875 1652243787.9339
MEM 388.046875 1652243788.0342
MEM 388.046875 1652243788.1347
MEM 388.046875 1652243788.2351
MEM 388.046875 1652243788.3356
MEM 388.046875 1652243788.4360
MEM 388.046875 1652243788.5363
MEM 388.046875 1652243788.6368
MEM 388.046875 1652243788.7372
MEM 388.046875 1652243788.8375
MEM 388.046875 1652243788.9378
MEM 388.046875 1652243789.0383
MEM 388.046875 1652243789.1386
MEM 388.046875 1652243789.2389
MEM 388.046875 1652243789.3392
MEM 388.046875 1652243789.4395
MEM 388.046875 1652243789.5399
MEM 388.046875 1652243789.6401
MEM 397.468750 1652243789.7405
MEM 400.343750 1652243789.8409
MEM 401.574219 1652243789.9412
MEM 401.574219 1652243790.0415
MEM 401.574219 1652243790.1418
MEM 401.574219 1652243790.2422
MEM 401.574219 1652243790.3426
MEM 401.574219 1652243790.4430
MEM 401.574219 1652243790.5433
MEM 401.574219 1652243790.6437
MEM 401.574219 1652243790.7440
MEM 401.574219 1652243790.8443
MEM 401.574219 1652243790.9447
MEM 401.574219 1652243791.0450
MEM 401.574219 1652243791.1454
MEM 401.574219 1652243791.2457
MEM 401.574219 1652243791.3461
MEM 401.574219 1652243791.4464
MEM 401.574219 1652243791.5468
MEM 401.574219 1652243791.6472
MEM 401.574219 1652243791.7475
MEM 401.574219 1652243791.8479
MEM 401.574219 1652243791.9483
MEM 401.574219 1652243792.0487
MEM 401.574219 1652243792.1491
MEM 401.574219 1652243792.2495
MEM 401.574219 1652243792.3499
MEM 401.574219 1652243792.4503
MEM 401.574219 1652243792.5507
MEM 401.574219 1652243792.6512
MEM 401.574219 1652243792.7516
MEM 401.574219 1652243792.8520
MEM 401.574219 1652243792.9525
MEM 401.574219 1652243793.0529
MEM 401.574219 1652243793.1533
MEM 401.574219 1652243793.2537
MEM 401.574219 1652243793.3540
MEM 401.574219 1652243793.4544
MEM 401.574219 1652243793.5547
MEM 401.574219 1652243793.6551
MEM 401.574219 1652243793.7555
MEM 401.574219 1652243793.8559
MEM 401.574219 1652243793.9562
MEM 401.574219 1652243794.0566
MEM 401.574219 1652243794.1593
MEM 401.574219 1652243794.2597
MEM 401.574219 1652243794.3600
MEM 401.574219 1652243794.4604
MEM 401.574219 1652243794.5608
MEM 401.574219 1652243794.6613
MEM 401.574219 1652243794.7617
MEM 401.574219 1652243794.8621
MEM 401.574219 1652243794.9625
MEM 401.574219 1652243795.0629
MEM 401.574219 1652243795.1633
MEM 401.574219 1652243795.2638
MEM 401.574219 1652243795.3642
MEM 401.574219 1652243795.4647
MEM 401.574219 1652243795.5651
MEM 401.574219 1652243795.6655
MEM 401.574219 1652243795.7660
MEM 401.574219 1652243795.8664
MEM 401.574219 1652243795.9668
MEM 401.574219 1652243796.0672
MEM 401.574219 1652243796.1675
MEM 401.574219 1652243796.2679
MEM 401.574219 1652243796.3687
MEM 401.574219 1652243796.4690
MEM 401.574219 1652243796.5694
MEM 401.574219 1652243796.6698
MEM 401.574219 1652243796.7702
MEM 401.574219 1652243796.8706
MEM 401.574219 1652243796.9710
MEM 401.574219 1652243797.0713
MEM 401.574219 1652243797.1717
MEM 401.574219 1652243797.2720
MEM 401.574219 1652243797.3724
MEM 401.574219 1652243797.4728
MEM 401.574219 1652243797.5732
MEM 401.574219 1652243797.6736
MEM 401.574219 1652243797.7739
MEM 401.574219 1652243797.8743
MEM 401.574219 1652243797.9746
MEM 401.574219 1652243798.0750
MEM 401.574219 1652243798.1753
MEM 401.574219 1652243798.2758
MEM 401.574219 1652243798.3762
MEM 401.574219 1652243798.4766
MEM 401.574219 1652243798.5769
MEM 401.574219 1652243798.6773
MEM 401.574219 1652243798.7777
MEM 401.574219 1652243798.8781
MEM 401.574219 1652243798.9784
MEM 401.574219 1652243799.0788
MEM 401.574219 1652243799.1792
MEM 401.574219 1652243799.2795
MEM 401.574219 1652243799.3800
MEM 401.574219 1652243799.4804
MEM 401.574219 1652243799.5808
MEM 401.574219 1652243799.6832
MEM 401.574219 1652243799.7835
MEM 401.574219 1652243799.8839
MEM 401.574219 1652243799.9844
MEM 401.574219 1652243800.0848
MEM 401.574219 1652243800.1852
MEM 401.574219 1652243800.2856
MEM 401.574219 1652243800.3881
MEM 401.574219 1652243800.4885
MEM 401.574219 1652243800.5889
MEM 401.574219 1652243800.6892
MEM 401.574219 1652243800.7895
MEM 401.574219 1652243800.8899
MEM 401.574219 1652243800.9902
MEM 401.574219 1652243801.0906
MEM 401.574219 1652243801.1909
MEM 401.574219 1652243801.2913
MEM 401.574219 1652243801.3916
MEM 401.574219 1652243801.4920
MEM 401.574219 1652243801.5923
MEM 401.574219 1652243801.6927
MEM 401.574219 1652243801.7930
MEM 401.574219 1652243801.8934
MEM 401.574219 1652243801.9937
MEM 401.574219 1652243802.0940
MEM 401.574219 1652243802.1944
MEM 401.574219 1652243802.2952
MEM 401.574219 1652243802.3955
MEM 401.574219 1652243802.4958
MEM 401.574219 1652243802.5962
MEM 401.574219 1652243802.6966
MEM 401.574219 1652243802.7970
MEM 401.574219 1652243802.8973
MEM 401.574219 1652243802.9994
MEM 401.574219 1652243803.0997
MEM 401.574219 1652243803.2001
MEM 401.574219 1652243803.3004
MEM 401.574219 1652243803.4008
MEM 401.574219 1652243803.5012
MEM 401.574219 1652243803.6015
MEM 401.574219 1652243803.7019
MEM 401.574219 1652243803.8023
MEM 401.574219 1652243803.9029
MEM 401.574219 1652243804.0032
MEM 401.574219 1652243804.1035
MEM 401.574219 1652243804.2039
