CMDLINE /usr/bin/python3 scripts/AE-SVM-Rhizo.py
MEM 1524.351562 1652240802.3541
MEM 1524.601562 1652240802.4546
MEM 1524.601562 1652240802.5550
MEM 1524.601562 1652240802.6560
MEM 1524.601562 1652240802.7563
MEM 1524.601562 1652240802.8567
MEM 1524.601562 1652240802.9570
MEM 1524.855469 1652240803.0573
MEM 1512.996094 1652240803.1578
MEM 1501.246094 1652240803.2582
MEM 1504.863281 1652240803.3586
MEM 1508.238281 1652240803.4590
MEM 1516.441406 1652240803.5594
MEM 1516.574219 1652240803.6598
MEM 1516.574219 1652240803.7603
MEM 1516.574219 1652240803.8607
MEM 1516.828125 1652240803.9611
MEM 1516.625000 1652240804.0615
MEM 1516.808594 1652240804.1619
MEM 1516.808594 1652240804.2623
MEM 1517.058594 1652240804.3627
MEM 1517.558594 1652240804.4631
MEM 1517.558594 1652240804.5635
MEM 1517.558594 1652240804.6639
MEM 1517.558594 1652240804.7643
MEM 1517.777344 1652240804.8647
MEM 1519.027344 1652240804.9652
MEM 1518.855469 1652240805.0656
MEM 1518.855469 1652240805.1660
MEM 1518.855469 1652240805.2664
MEM 1518.855469 1652240805.3668
MEM 1518.855469 1652240805.4672
MEM 1518.855469 1652240805.5676
MEM 1536.109375 1652240805.6680
MEM 1536.109375 1652240805.7684
MEM 1536.109375 1652240805.8689
MEM 1536.109375 1652240805.9693
MEM 1536.109375 1652240806.0697
MEM 1536.109375 1652240806.1701
MEM 1536.109375 1652240806.2705
MEM 1536.109375 1652240806.3709
MEM 1536.363281 1652240806.4712
MEM 1536.132812 1652240806.5717
MEM 1523.285156 1652240806.6720
MEM 1523.078125 1652240806.7726
MEM 1523.261719 1652240806.8730
MEM 1517.519531 1652240806.9733
MEM 1532.523438 1652240807.0737
MEM 1532.523438 1652240807.1741
MEM 1532.523438 1652240807.2745
MEM 1532.523438 1652240807.3749
MEM 1532.523438 1652240807.4752
MEM 1515.089844 1652240807.5756
MEM 1515.089844 1652240807.6760
MEM 1515.089844 1652240807.7764
MEM 1515.089844 1652240807.8768
MEM 1515.089844 1652240807.9772
MEM 1515.089844 1652240808.0776
MEM 1515.089844 1652240808.1780
MEM 1515.089844 1652240808.2784
MEM 1515.089844 1652240808.3788
MEM 1535.605469 1652240808.4792
MEM 1535.605469 1652240808.5796
MEM 1535.605469 1652240808.6801
MEM 1535.605469 1652240808.7805
MEM 1535.605469 1652240808.8809
MEM 1535.605469 1652240808.9814
MEM 1535.605469 1652240809.0818
MEM 1536.117188 1652240809.1830
MEM 1536.117188 1652240809.2834
MEM 1528.433594 1652240809.3840
MEM 1530.445312 1652240809.4845
MEM 1525.542969 1652240809.5849
MEM 1534.605469 1652240809.6853
MEM 1534.574219 1652240809.7856
MEM 1534.574219 1652240809.8859
MEM 1534.574219 1652240809.9862
MEM 1534.574219 1652240810.0866
MEM 1534.554688 1652240810.1870
MEM 1534.554688 1652240810.2874
MEM 1534.554688 1652240810.3877
MEM 1534.554688 1652240810.4881
MEM 1534.554688 1652240810.5884
MEM 1534.554688 1652240810.6888
MEM 1534.554688 1652240810.7892
MEM 1534.554688 1652240810.8896
MEM 1534.554688 1652240810.9900
MEM 1543.503906 1652240811.0904
MEM 1543.503906 1652240811.1909
MEM 1543.503906 1652240811.2912
MEM 1543.503906 1652240811.3916
MEM 1543.503906 1652240811.4926
MEM 1543.503906 1652240811.5931
MEM 1543.503906 1652240811.6935
MEM 1544.015625 1652240811.7939
MEM 1543.781250 1652240811.8944
MEM 1533.441406 1652240811.9948
MEM 1542.199219 1652240812.0953
MEM 1545.460938 1652240812.1962
MEM 1533.437500 1652240812.2966
MEM 1533.585938 1652240812.3970
MEM 1533.585938 1652240812.4975
MEM 1533.585938 1652240812.5979
MEM 1533.585938 1652240812.6983
MEM 1533.566406 1652240812.7987
MEM 1533.566406 1652240812.8991
MEM 1533.566406 1652240812.9996
MEM 1533.566406 1652240813.1000
MEM 1533.566406 1652240813.2004
MEM 1533.566406 1652240813.3008
MEM 1519.351562 1652240813.4012
MEM 1519.351562 1652240813.5016
MEM 1519.351562 1652240813.6020
MEM 1519.351562 1652240813.7024
MEM 1533.250000 1652240813.8028
