CMDLINE /usr/bin/python3 scripts/PCA-RF-Rhizo.py
MEM 213.167969 1652242088.6143
MEM 213.167969 1652242088.7146
MEM 213.167969 1652242088.8149
MEM 213.167969 1652242088.9152
MEM 213.167969 1652242089.0155
MEM 213.167969 1652242089.1159
MEM 213.167969 1652242089.2162
MEM 213.167969 1652242089.3166
MEM 213.167969 1652242089.4169
MEM 213.167969 1652242089.5172
MEM 213.167969 1652242089.6175
MEM 213.167969 1652242089.7179
MEM 213.167969 1652242089.8183
MEM 213.167969 1652242089.9185
MEM 213.167969 1652242090.0189
MEM 213.167969 1652242090.1191
MEM 213.167969 1652242090.2194
MEM 213.167969 1652242090.3214
MEM 213.167969 1652242090.4218
MEM 213.167969 1652242090.5221
MEM 213.167969 1652242090.6224
MEM 213.167969 1652242090.7227
MEM 213.167969 1652242090.8230
MEM 213.167969 1652242090.9233
MEM 213.167969 1652242091.0237
MEM 213.167969 1652242091.1241
MEM 213.167969 1652242091.2244
MEM 213.167969 1652242091.3247
MEM 213.167969 1652242091.4250
MEM 213.167969 1652242091.5253
MEM 213.167969 1652242091.6256
MEM 213.167969 1652242091.7260
MEM 213.167969 1652242091.8263
MEM 213.167969 1652242091.9267
MEM 213.167969 1652242092.0270
MEM 213.167969 1652242092.1273
MEM 213.167969 1652242092.2292
MEM 213.167969 1652242092.3296
MEM 213.167969 1652242092.4300
MEM 213.167969 1652242092.5303
MEM 213.167969 1652242092.6306
MEM 213.167969 1652242092.7310
MEM 213.167969 1652242092.8313
MEM 213.167969 1652242092.9316
MEM 213.167969 1652242093.0319
MEM 213.167969 1652242093.1322
MEM 213.167969 1652242093.2326
MEM 213.167969 1652242093.3329
MEM 213.167969 1652242093.4332
MEM 213.167969 1652242093.5335
MEM 213.167969 1652242093.6338
MEM 213.167969 1652242093.7341
MEM 213.167969 1652242093.8345
MEM 213.167969 1652242093.9349
MEM 213.167969 1652242094.0352
MEM 213.167969 1652242094.1355
MEM 213.167969 1652242094.2358
MEM 213.167969 1652242094.3361
MEM 213.167969 1652242094.4365
MEM 213.167969 1652242094.5368
MEM 213.167969 1652242094.6372
MEM 213.167969 1652242094.7375
MEM 213.167969 1652242094.8378
MEM 213.167969 1652242094.9381
MEM 213.167969 1652242095.0384
MEM 213.167969 1652242095.1387
MEM 213.167969 1652242095.2390
MEM 213.167969 1652242095.3393
MEM 213.167969 1652242095.4396
MEM 213.167969 1652242095.5398
MEM 213.167969 1652242095.6401
MEM 213.167969 1652242095.7403
MEM 213.167969 1652242095.8407
MEM 213.167969 1652242095.9411
MEM 213.167969 1652242096.0414
MEM 213.167969 1652242096.1433
MEM 213.167969 1652242096.2436
MEM 213.167969 1652242096.3439
MEM 213.167969 1652242096.4447
MEM 213.167969 1652242096.5451
MEM 213.167969 1652242096.6454
MEM 213.167969 1652242096.7458
MEM 213.167969 1652242096.8472
MEM 213.167969 1652242096.9475
MEM 213.167969 1652242097.0478
MEM 213.167969 1652242097.1481
MEM 213.167969 1652242097.2485
MEM 213.167969 1652242097.3489
MEM 213.167969 1652242097.4492
MEM 213.167969 1652242097.5495
MEM 213.167969 1652242097.6498
MEM 213.167969 1652242097.7501
MEM 213.167969 1652242097.8504
MEM 213.167969 1652242097.9507
MEM 213.167969 1652242098.0511
MEM 213.167969 1652242098.1514
MEM 213.167969 1652242098.2516
MEM 213.167969 1652242098.3519
MEM 213.167969 1652242098.4522
MEM 213.167969 1652242098.5524
MEM 213.167969 1652242098.6527
MEM 213.167969 1652242098.7529
MEM 213.167969 1652242098.8532
MEM 213.167969 1652242098.9534
MEM 213.167969 1652242099.0537
MEM 213.167969 1652242099.1540
MEM 213.167969 1652242099.2551
MEM 213.167969 1652242099.3553
MEM 213.167969 1652242099.4556
MEM 213.167969 1652242099.5559
MEM 213.167969 1652242099.6561
MEM 213.167969 1652242099.7564
MEM 213.167969 1652242099.8566
MEM 213.167969 1652242099.9569
MEM 213.167969 1652242100.0572
MEM 213.167969 1652242100.1574
MEM 213.167969 1652242100.2577
MEM 213.167969 1652242100.3579
MEM 213.167969 1652242100.4582
MEM 213.167969 1652242100.5585
MEM 213.167969 1652242100.6587
MEM 213.167969 1652242100.7590
